Tag:,tAnchor:,Observed:,Expected:
2,3,7.42,7.5338437069
2,0,5.89,5.951
2,2,12.28,14.1825364798
2,1,13.69,12.5380477348
0,0,6.12,6.09772424762
0,3,7.58,7.56219815927
0,1,12.14,12.4229819689
0,2,13.58,13.9849233462
1,0,5.97,6.241
1,3,7.59,7.76495209258
1,2,13.87,13.93117443
1,1,12.21,12.252996409
2,0,5.94,5.951
2,3,7.44,7.5338437069
2,2,12.26,14.1825364798
2,1,13.73,12.5380477348
0,0,6.07,6.09772424762
0,3,7.61,7.56219815927
0,2,13.59,13.9849233462
0,1,12.06,12.4229819689
1,0,5.94,6.241
1,3,7.6,7.76495209258
1,1,12.21,12.252996409
1,2,13.91,13.93117443
2,0,5.93,5.951
2,2,12.24,14.1825364798
2,1,13.68,12.5380477348
2,3,7.45,7.5338437069
0,3,7.54,7.56219815927
0,0,6.12,6.09772424762
0,1,12.04,12.4229819689
0,2,13.6,13.9849233462
1,0,5.98,6.241
1,3,7.59,7.76495209258
1,1,12.17,12.252996409
1,2,13.78,13.93117443
2,0,5.91,5.951
2,3,7.43,7.5338437069
2,1,13.68,12.5380477348
2,2,12.23,14.1825364798
0,0,6.11,6.09772424762
0,3,7.57,7.56219815927
0,1,12.11,12.4229819689
0,2,13.63,13.9849233462
1,0,6.0,6.241
1,3,7.65,7.76495209258
1,1,12.18,12.252996409
1,2,13.89,13.93117443
2,0,5.91,5.951
2,3,7.44,7.5338437069
2,2,12.25,14.1825364798
2,1,13.71,12.5380477348
0,0,6.16,6.09772424762
0,3,7.8,7.56219815927
0,1,12.06,12.4229819689
0,2,13.65,13.9849233462
1,0,6.0,6.241
1,3,7.6,7.76495209258
1,1,12.2,12.252996409
1,2,13.9,13.93117443
2,0,5.87,5.951
2,3,7.48,7.5338437069
2,2,12.17,14.1825364798
2,1,13.71,12.5380477348
0,0,6.09,6.09772424762
0,3,7.61,7.56219815927
0,2,13.65,13.9849233462
0,1,12.03,12.4229819689
1,0,5.99,6.241
1,3,7.61,7.76495209258
1,1,12.2,12.252996409
1,2,13.88,13.93117443
2,0,5.87,5.951
2,3,7.41,7.5338437069
2,1,13.74,12.5380477348
2,2,12.23,14.1825364798
0,0,6.1,6.09772424762
0,1,12.08,12.4229819689
0,3,7.59,7.56219815927
0,2,13.57,13.9849233462
1,0,5.97,6.241
1,3,7.66,7.76495209258
1,1,12.21,12.252996409
2,0,5.89,5.951
2,3,7.43,7.5338437069
2,2,12.28,14.1825364798
2,1,13.72,12.5380477348
0,0,6.12,6.09772424762
0,3,7.59,7.56219815927
0,1,12.0,12.4229819689
0,2,13.61,13.9849233462
1,0,5.99,6.241
1,3,7.6,7.76495209258
1,1,12.19,12.252996409
1,2,13.84,13.93117443
2,0,5.91,5.951
2,2,12.27,14.1825364798
2,3,7.44,7.5338437069
2,1,13.69,12.5380477348
0,0,6.16,6.09772424762
0,3,7.5,7.56219815927
0,1,11.97,12.4229819689
0,2,13.63,13.9849233462
1,0,5.98,6.241
1,3,7.62,7.76495209258
1,1,12.15,12.252996409
1,2,13.87,13.93117443
2,0,5.95,5.951
2,3,7.42,7.5338437069
2,2,12.21,14.1825364798
2,1,13.73,12.5380477348
0,0,6.16,6.09772424762
0,1,12.07,12.4229819689
0,2,13.57,13.9849233462
0,3,7.6,7.56219815927
1,0,6.02,6.241
1,3,7.63,7.76495209258
1,1,12.2,12.252996409
1,2,13.89,13.93117443
2,0,5.9,5.951
2,3,7.47,7.5338437069
2,1,13.71,12.5380477348
2,2,12.25,14.1825364798
0,0,6.09,6.09772424762
0,3,7.57,7.56219815927
0,1,11.98,12.4229819689
0,2,13.53,13.9849233462
1,0,6.02,6.241
1,3,7.6,7.76495209258
1,2,13.86,13.93117443
1,1,12.21,12.252996409
2,0,5.91,5.951
2,2,12.29,14.1825364798
2,3,7.48,7.5338437069
2,1,13.77,12.5380477348
0,0,6.12,6.09772424762
0,3,7.62,7.56219815927
0,1,12.03,12.4229819689
0,2,13.68,13.9849233462
1,0,6.02,6.241
1,3,7.57,7.76495209258
1,1,12.18,12.252996409
1,2,13.84,13.93117443
2,0,5.87,5.951
2,3,7.43,7.5338437069
2,2,12.24,14.1825364798
2,1,13.67,12.5380477348
0,0,6.16,6.09772424762
0,3,7.65,7.56219815927
0,1,12.11,12.4229819689
0,2,13.62,13.9849233462
1,0,5.99,6.241
1,3,7.61,7.76495209258
1,1,12.23,12.252996409
1,2,13.91,13.93117443
2,3,7.43,7.5338437069
2,2,12.2,14.1825364798
2,1,13.65,12.5380477348
0,0,6.17,6.09772424762
0,3,7.6,7.56219815927
0,1,12.11,12.4229819689
0,2,13.59,13.9849233462
1,0,6.01,6.241
1,3,7.59,7.76495209258
1,1,12.15,12.252996409
1,2,13.92,13.93117443
2,0,5.87,5.951
2,3,7.43,7.5338437069
2,2,12.26,14.1825364798
2,1,13.71,12.5380477348
0,3,7.58,7.56219815927
0,0,6.17,6.09772424762
0,1,12.0,12.4229819689
0,2,13.6,13.9849233462
2,3,7.45,7.5338437069
2,0,5.9,5.951
2,1,13.7,12.5380477348
2,2,12.29,14.1825364798
0,0,6.1,6.09772424762
0,3,7.61,7.56219815927
0,1,12.04,12.4229819689
0,2,13.67,13.9849233462
1,0,6.01,6.241
1,3,7.63,7.76495209258
1,1,12.18,12.252996409
1,2,13.85,13.93117443
2,0,5.94,5.951
2,3,7.45,7.5338437069
2,2,12.23,14.1825364798
2,1,13.74,12.5380477348
0,0,6.13,6.09772424762
0,3,7.6,7.56219815927
0,2,13.57,13.9849233462
0,1,12.01,12.4229819689
1,0,6.0,6.241
1,3,7.63,7.76495209258
1,2,13.82,13.93117443
1,1,12.23,12.252996409
2,0,5.92,5.951
2,2,12.22,14.1825364798
2,3,7.44,7.5338437069
2,1,13.65,12.5380477348
0,0,6.13,6.09772424762
0,3,7.63,7.56219815927
0,1,12.05,12.4229819689
0,2,13.59,13.9849233462
1,0,6.02,6.241
1,3,7.58,7.76495209258
1,1,12.2,12.252996409
1,2,13.83,13.93117443
2,3,7.46,7.5338437069
2,0,5.94,5.951
2,2,12.32,14.1825364798
2,1,13.7,12.5380477348
0,0,6.16,6.09772424762
0,3,7.62,7.56219815927
0,1,12.07,12.4229819689
0,2,13.66,13.9849233462
1,0,6.0,6.241
1,1,12.19,12.252996409
1,3,7.62,7.76495209258
1,2,13.89,13.93117443
2,0,5.95,5.951
2,2,12.28,14.1825364798
2,3,7.43,7.5338437069
2,1,13.67,12.5380477348
0,3,7.62,7.56219815927
0,0,6.15,6.09772424762
0,1,12.06,12.4229819689
0,2,13.61,13.9849233462
1,3,7.62,7.76495209258
1,0,5.97,6.241
1,1,12.18,12.252996409
1,2,13.87,13.93117443
2,0,5.94,5.951
2,3,7.45,7.5338437069
2,2,12.23,14.1825364798
2,1,13.66,12.5380477348
0,0,6.13,6.09772424762
0,3,7.6,7.56219815927
0,2,13.58,13.9849233462
0,1,12.05,12.4229819689
1,0,6.02,6.241
1,3,7.62,7.76495209258
1,1,12.23,12.252996409
1,2,13.83,13.93117443
2,0,5.9,5.951
2,3,7.44,7.5338437069
2,2,12.24,14.1825364798
2,1,13.65,12.5380477348
0,0,6.14,6.09772424762
0,3,7.62,7.56219815927
0,1,12.08,12.4229819689
0,2,13.68,13.9849233462
1,3,7.62,7.76495209258
1,0,6.02,6.241
1,1,12.21,12.252996409
1,2,13.87,13.93117443
2,0,5.84,5.951
2,3,7.44,7.5338437069
2,2,12.21,14.1825364798
2,1,13.66,12.5380477348
0,3,7.61,7.56219815927
0,0,6.14,6.09772424762
0,1,12.08,12.4229819689
0,2,13.6,13.9849233462
1,3,7.63,7.76495209258
1,1,12.21,12.252996409
1,0,5.98,6.241
1,2,13.86,13.93117443
2,0,5.91,5.951
2,3,7.44,7.5338437069
2,2,12.25,14.1825364798
2,1,13.72,12.5380477348
0,0,6.16,6.09772424762
0,3,7.61,7.56219815927
0,1,12.02,12.4229819689
0,2,13.64,13.9849233462
1,0,6.02,6.241
1,3,7.63,7.76495209258
1,1,12.17,12.252996409
1,2,13.87,13.93117443
2,0,5.91,5.951
2,3,7.44,7.5338437069
2,2,12.27,14.1825364798
2,1,13.69,12.5380477348
0,0,6.14,6.09772424762
0,3,7.6,7.56219815927
0,1,12.1,12.4229819689
0,2,13.62,13.9849233462
2,0,5.88,5.951
2,3,7.45,7.5338437069
2,2,12.23,14.1825364798
2,1,13.62,12.5380477348
0,3,7.58,7.56219815927
0,0,6.13,6.09772424762
0,1,12.08,12.4229819689
0,2,13.63,13.9849233462
1,0,6.0,6.241
1,3,7.61,7.76495209258
1,1,12.19,12.252996409
1,2,13.85,13.93117443
2,0,5.95,5.951
2,2,12.24,14.1825364798
2,3,7.45,7.5338437069
2,1,13.69,12.5380477348
0,3,7.59,7.56219815927
0,0,6.13,6.09772424762
0,1,12.06,12.4229819689
0,2,13.63,13.9849233462
1,0,6.0,6.241
1,3,7.63,7.76495209258
1,1,12.27,12.252996409
1,2,13.9,13.93117443
2,0,5.9,5.951
2,3,7.46,7.5338437069
2,2,12.2,14.1825364798
2,1,13.68,12.5380477348
0,0,6.11,6.09772424762
0,3,7.59,7.56219815927
0,1,12.03,12.4229819689
0,2,13.57,13.9849233462
1,0,6.05,6.241
1,3,7.58,7.76495209258
1,1,12.21,12.252996409
1,2,13.84,13.93117443
2,0,5.91,5.951
2,3,7.41,7.5338437069
2,2,12.26,14.1825364798
2,1,13.67,12.5380477348
0,0,6.14,6.09772424762
0,3,7.58,7.56219815927
0,2,13.6,13.9849233462
0,1,12.05,12.4229819689
1,0,6.03,6.241
1,3,7.6,7.76495209258
1,1,12.24,12.252996409
1,2,13.86,13.93117443
